nodes,NR,NW,clients,read_s,write_s
8,1,8,1,0.09,0.12
8,1,8,2,0.09,0.12
8,1,8,3,0.09,0.13
8,1,8,4,0.09,0.14
8,1,8,5,0.1,0.14
8,1,8,6,0.1,0.14
8,1,8,7,0.1,0.14
8,1,8,8,0.1,0.14
8,1,8,9,0.1,0.14
8,1,8,10,0.1,0.14
8,2,7,1,0.09,0.12
8,2,7,2,0.09,0.12
8,2,7,3,0.1,0.12
8,2,7,4,0.1,0.13
8,2,7,5,0.1,0.13
8,2,7,6,0.1,0.13
8,2,7,7,0.1,0.14
8,2,7,8,0.1,0.14
8,2,7,9,0.1,0.14
8,2,7,10,0.11,0.14
8,2,8,1,0.09,0.13
8,2,8,2,0.09,0.12
8,2,8,3,0.09,0.13
8,2,8,4,0.1,0.13
8,2,8,5,0.1,0.14
8,2,8,6,0.1,0.15
8,2,8,7,0.1,0.15
8,2,8,8,0.11,0.15
8,2,8,9,0.11,0.15
8,2,8,10,0.11,0.15
8,3,6,1,0.09,0.11
8,3,6,2,0.09,0.12
8,3,6,3,0.1,0.12
8,3,6,4,0.1,0.12
8,3,6,5,0.1,0.13
8,3,6,6,0.11,0.13
8,3,6,7,0.11,0.13
8,3,6,8,0.11,0.14
8,3,6,9,0.11,0.14
8,3,6,10,0.12,0.14
8,3,7,1,0.09,0.12
8,3,7,2,0.09,0.12
8,3,7,3,0.1,0.12
8,3,7,4,0.1,0.13
8,3,7,5,0.1,0.13
8,3,7,6,0.1,0.14
8,3,7,7,0.11,0.14
8,3,7,8,0.11,0.14
8,3,7,9,0.11,0.14
8,3,7,10,0.11,0.14
8,3,8,1,0.09,0.12
8,3,8,2,0.1,0.13
8,3,8,3,0.1,0.13
8,3,8,4,0.1,0.13
8,3,8,5,0.1,0.14
8,3,8,6,0.1,0.15
8,3,8,7,0.11,0.15
8,3,8,8,0.11,0.15
8,3,8,9,0.11,0.15
8,3,8,10,0.11,0.15
8,4,5,1,0.09,0.11
8,4,5,2,0.09,0.14
8,4,5,3,0.11,0.11
8,4,5,4,0.11,0.12
8,4,5,5,0.11,0.12
8,4,5,6,0.1,0.12
8,4,5,7,0.11,0.12
8,4,5,8,0.12,0.13
8,4,5,9,0.11,0.13
8,4,5,10,0.12,0.13
8,4,6,1,0.09,0.12
8,4,6,2,0.09,0.12
8,4,6,3,0.1,0.12
8,4,6,4,0.1,0.12
8,4,6,5,0.1,0.13
8,4,6,6,0.11,0.13
8,4,6,7,0.11,0.13
8,4,6,8,0.11,0.13
8,4,6,9,0.11,0.14
8,4,6,10,0.11,0.14
8,4,7,1,0.09,0.12
8,4,7,2,0.1,0.12
8,4,7,3,0.1,0.13
8,4,7,4,0.1,0.13
8,4,7,5,0.11,0.13
8,4,7,6,0.1,0.13
8,4,7,7,0.11,0.13
8,4,7,8,0.11,0.13
8,4,7,9,0.11,0.14
8,4,7,10,0.11,0.15
